date,code,biblio,redaction,autre
2022-01-10,6,0,0,0
2022-01-07,5,0,0,1
2022-01-06,0,3,0,0
2022-01-05,1,7.5,1,0
2022-01-04,1,6.5,1,0
2022-01-03,0,3.5,0,2
2022-01-11,0,9,0,0
2022-01-12,0,7,2,0
2022-01-13,3,2,0,0
2022-01-14,4,3,2,0
2022-01-17,0,4,0,0
