j	i	rext	rint	rayon	dr	h	z_haut	z_bas
8	2	0.04494	0.03256	0.03875	0.01239	0.00625	0.00750	0.00500
8	3	0.05459	0.04494	0.04977	0.00964	0.00625	0.00750	0.00500
8	4	0.06277	0.05459	0.05868	0.00818	0.00625	0.00750	0.00500
8	5	0.07000	0.06277	0.06638	0.00723	0.00625	0.00750	0.00500
8	6	0.07655	0.07000	0.07328	0.00655	0.00625	0.00750	0.00500
8	7	0.08258	0.07655	0.07957	0.00603	0.00625	0.00750	0.00500
8	8	0.08820	0.08258	0.08539	0.00562	0.00625	0.00750	0.00500
8	9	0.09349	0.08820	0.09085	0.00528	0.00625	0.00750	0.00500
8	10	0.09849	0.09349	0.09599	0.00500	0.00625	0.00750	0.00500
9	1	0.03256	0.01000	0.02128	0.02256	0.00375	0.00500	0.00250
9	2	0.04494	0.03256	0.03875	0.01239	0.00375	0.00500	0.00250
9	3	0.05459	0.04494	0.04977	0.00964	0.00375	0.00500	0.00250
9	4	0.06277	0.05459	0.05868	0.00818	0.00375	0.00500	0.00250
9	5	0.07000	0.06277	0.06638	0.00723	0.00375	0.00500	0.00250
9	6	0.07655	0.07000	0.07328	0.00655	0.00375	0.00500	0.00250
9	7	0.08258	0.07655	0.07957	0.00603	0.00375	0.00500	0.00250
9	8	0.08820	0.08258	0.08539	0.00562	0.00375	0.00500	0.00250
9	9	0.09349	0.08820	0.09085	0.00528	0.00375	0.00500	0.00250
9	10	0.09849	0.09349	0.09599	0.00500	0.00375	0.00500	0.00250
10	1	0.03256	0.01000	0.02128	0.02256	0.00125	0.00250	0.00000
10	2	0.04494	0.03256	0.03875	0.01239	0.00125	0.00250	0.00000
10	3	0.05459	0.04494	0.04977	0.00964	0.00125	0.00250	0.00000
10	4	0.06277	0.05459	0.05868	0.00818	0.00125	0.00250	0.00000
10	5	0.07000	0.06277	0.06638	0.00723	0.00125	0.00250	0.00000
10	6	0.07655	0.07000	0.07328	0.00655	0.00125	0.00250	0.00000
10	7	0.08258	0.07655	0.07957	0.00603	0.00125	0.00250	0.00000
10	8	0.08820	0.08258	0.08539	0.00562	0.00125	0.00250	0.00000
10	9	0.09349	0.08820	0.09085	0.00528	0.00125	0.00250	0.00000
10	10	0.09849	0.09349	0.09599	0.00500	0.00125	0.00250	0.00000
