0.0859319724	49.7040	0.529599
0.0865224673	49.6975	0.533531
0.0865324865	49.6969	0.533595
0.0865284608	49.6969	0.533568
0.0865171399	49.6972	0.533494
0.0864968632	49.6979	0.533361
0.0864631957	49.6989	0.533139
0.0863833677	49.7008	0.532612
0.0856616616	49.7064	0.527790
0.0775213725	49.7403	0.471229
0.1035393185	49.6567	0.636609
0.1042975540	49.6492	0.640681
0.1043063231	49.6484	0.640725
0.1043035030	49.6484	0.640710
0.1042956072	49.6488	0.640669
0.1042816401	49.6496	0.640596
0.1042586808	49.6508	0.640477
0.1041936621	49.6530	0.640134
0.1033427861	49.6584	0.635546
0.0922413005	49.6932	0.570574
0.1084323859	49.6458	0.662247
0.1091876750	49.6378	0.666029
0.1091934010	49.6369	0.666055
0.1091924828	49.6369	0.666051
0.1091898451	49.6373	0.666039
0.1091853402	49.6382	0.666019
0.1091780821	49.6396	0.665986
0.1091399211	49.6418	0.665801
0.1083322977	49.6468	0.661742
0.0967015156	49.6793	0.597794
0.1092502018	49.6444	0.666361
0.1099910310	49.6360	0.670027
0.1099954667	49.6350	0.670046
0.1099952892	49.6350	0.670045
0.1099947419	49.6355	0.670044
0.1099940459	49.6364	0.670043
0.1099931815	49.6379	0.670043
0.1099661437	49.6401	0.669916
0.1091860706	49.6448	0.666041
0.0975650466	49.6761	0.602890
0.1093457870	49.6443	0.666840
0.1100812477	49.6358	0.670473
0.1100852843	49.6348	0.670490
0.1100853087	49.6347	0.670490
0.1100853650	49.6353	0.670492
0.1100858027	49.6362	0.670497
0.1100868909	49.6378	0.670507
0.1100632825	49.6400	0.670396
0.1092917815	49.6445	0.666570
0.0976922761	49.6753	0.603635
0.1093457870	49.6443	0.666840
0.1100812477	49.6358	0.670473
0.1100852843	49.6348	0.670490
0.1100853087	49.6347	0.670490
0.1100853650	49.6353	0.670492
0.1100858027	49.6362	0.670497
0.1100868909	49.6378	0.670507
0.1100632825	49.6400	0.670396
0.1092917815	49.6445	0.666570
0.0976922761	49.6753	0.603635
0.1092502018	49.6444	0.666361
0.1099910310	49.6360	0.670027
0.1099954667	49.6350	0.670046
0.1099952892	49.6350	0.670045
0.1099947419	49.6355	0.670044
0.1099940459	49.6364	0.670043
0.1099931815	49.6379	0.670043
0.1099661437	49.6401	0.669916
0.1091860706	49.6448	0.666041
0.0975650466	49.6761	0.602890
0.1084323859	49.6458	0.662247
0.1091876750	49.6378	0.666029
0.1091934010	49.6369	0.666055
0.1091924828	49.6369	0.666051
0.1091898451	49.6373	0.666039
0.1091853402	49.6382	0.666019
0.1091780821	49.6396	0.665986
0.1091399211	49.6418	0.665801
0.1083322977	49.6468	0.661742
0.0967015156	49.6793	0.597794
0.1035393185	49.6567	0.636609
0.1042975540	49.6492	0.640681
0.1043063231	49.6484	0.640725
0.1043035030	49.6484	0.640710
0.1042956072	49.6488	0.640669
0.1042816401	49.6496	0.640596
0.1042586808	49.6508	0.640477
0.1041936621	49.6530	0.640134
0.1033427861	49.6584	0.635546
0.0922413005	49.6932	0.570574
0.0859319724	49.7040	0.529599
0.0865224673	49.6975	0.533531
0.0865324865	49.6969	0.533595
0.0865284608	49.6969	0.533568
0.0865171399	49.6972	0.533494
0.0864968632	49.6979	0.533361
0.0864631957	49.6989	0.533139
0.0863833677	49.7008	0.532612
0.0856616616	49.7064	0.527790
0.0775213725	49.7403	0.471229
